,dataset,method,timeSlice,GT_predict,TRUE,GT_predict_log
989,Normal,word2vec_0.70,45,0.245,0.203,-0.610833915635
990,Normal,word2vec_0.80,1,0.714,0.857,-0.146301788224
991,Normal,word2vec_0.80,2,0.882,1.0,-0.0545314148682
992,Normal,word2vec_0.80,3,0.84,0.875,-0.0757207139381
993,Normal,word2vec_0.80,4,0.862,1.0,-0.0644927341753
994,Normal,word2vec_0.80,5,0.838,0.875,-0.0767559813697
995,Normal,word2vec_0.80,6,0.814,0.833,-0.0893755951108
996,Normal,word2vec_0.80,7,0.818,0.917,-0.0872466963287
997,Normal,word2vec_0.80,8,0.794,0.75,-0.100179497573
998,Normal,word2vec_0.80,9,0.617,0.692,-0.209714835967
999,Normal,word2vec_0.80,10,0.581,0.671,-0.23582386761
1000,Normal,word2vec_0.80,11,0.559,0.5,-0.252588192114
1001,Normal,word2vec_0.80,12,0.502,0.355,-0.299296282855
1002,Normal,word2vec_0.80,13,0.488,0.4,-0.311580177997
1003,Normal,word2vec_0.80,14,0.469,0.417,-0.328827157285
1004,Normal,word2vec_0.80,15,0.462,0.516,-0.335358024444
1005,Normal,word2vec_0.80,16,0.445,0.455,-0.351639989019
1006,Normal,word2vec_0.80,17,0.436,0.333,-0.360513510731
1007,Normal,word2vec_0.80,18,0.444,0.769,-0.352617029885
1008,Normal,word2vec_0.80,19,0.427,0.549,-0.369572124975
1009,Normal,word2vec_0.80,20,0.41,0.154,-0.38721614328
1010,Normal,word2vec_0.80,21,0.405,0.417,-0.392544976785
1011,Normal,word2vec_0.80,22,0.384,0.429,-0.415668775632
1012,Normal,word2vec_0.80,23,0.382,0.421,-0.417936637088
1013,Normal,word2vec_0.80,24,0.378,0.444,-0.422508200163
1014,Normal,word2vec_0.80,25,0.376,0.429,-0.424812155072
1015,Normal,word2vec_0.80,26,0.376,0.538,-0.424812155072
1016,Normal,word2vec_0.80,27,0.379,0.563,-0.421360790032
1017,Normal,word2vec_0.80,28,0.356,0.425,-0.448550002027
1018,Normal,word2vec_0.80,29,0.362,0.649,-0.441291429467
1019,Normal,word2vec_0.80,30,0.359,0.222,-0.444905551422
1020,Normal,word2vec_0.80,31,0.352,0.3,-0.453457336522
1021,Normal,word2vec_0.80,32,0.329,0.361,-0.48280410205
1022,Normal,word2vec_0.80,33,0.327,0.417,-0.48545224734
1023,Normal,word2vec_0.80,34,0.325,0.2,-0.488116639021
1024,Normal,word2vec_0.80,35,0.326,0.625,-0.486782399932
1025,Normal,word2vec_0.80,36,0.323,0.214,-0.490797477669
1026,Normal,word2vec_0.80,37,0.322,0.2,-0.492144128304
1027,Normal,word2vec_0.80,38,0.309,0.391,-0.510041520575
1028,Normal,word2vec_0.80,39,0.307,0.444,-0.512861624523
1029,Normal,word2vec_0.80,40,0.306,0.364,-0.514278573518
1030,Normal,word2vec_0.80,41,0.306,0.6,-0.514278573518
1031,Normal,word2vec_0.80,42,0.305,0.393,-0.515700160653
1032,Normal,word2vec_0.80,43,0.302,0.125,-0.519993057043
1033,Normal,word2vec_0.80,44,0.3,0.176,-0.52287874528
1034,Normal,word2vec_0.80,45,0.293,0.254,-0.533132379646
1035,Normal,word2vec_0.90,1,0.714,0.857,-0.146301788224
1036,Normal,word2vec_0.90,2,0.882,1.0,-0.0545314148682
1037,Normal,word2vec_0.90,3,0.84,0.875,-0.0757207139381
1038,Normal,word2vec_0.90,4,0.862,1.0,-0.0644927341753
1039,Normal,word2vec_0.90,5,0.838,0.875,-0.0767559813697
1040,Normal,word2vec_0.90,6,0.814,0.833,-0.0893755951108
1041,Normal,word2vec_0.90,7,0.855,1.0,-0.0680338852718
1042,Normal,word2vec_0.90,8,0.825,0.75,-0.0835460514501
1043,Normal,word2vec_0.90,9,0.63,0.692,-0.200659450546
1044,Normal,word2vec_0.90,10,0.593,0.683,-0.226945306636
1045,Normal,word2vec_0.90,11,0.571,0.5,-0.243363891754
1046,Normal,word2vec_0.90,12,0.512,0.355,-0.290730039024
1047,Normal,word2vec_0.90,13,0.498,0.4,-0.30277065724
1048,Normal,word2vec_0.90,14,0.479,0.417,-0.319664486585
1049,Normal,word2vec_0.90,15,0.473,0.548,-0.325138859262
1050,Normal,word2vec_0.90,16,0.453,0.455,-0.343901797987
1051,Normal,word2vec_0.90,17,0.444,0.333,-0.352617029885
1052,Normal,word2vec_0.90,18,0.452,0.769,-0.344861565189
1053,Normal,word2vec_0.90,19,0.435,0.56,-0.361510743045
1054,Normal,word2vec_0.90,20,0.422,0.231,-0.374687549038
1055,Normal,word2vec_0.90,21,0.416,0.417,-0.380906669373
1056,Normal,word2vec_0.90,22,0.399,0.455,-0.399027104313
1057,Normal,word2vec_0.90,23,0.397,0.421,-0.401209493237
1058,Normal,word2vec_0.90,24,0.389,0.444,-0.410050398674
1059,Normal,word2vec_0.90,25,0.387,0.429,-0.412289034981
1060,Normal,word2vec_0.90,26,0.387,0.538,-0.412289034981
1061,Normal,word2vec_0.90,27,0.392,0.625,-0.40671393298
1062,Normal,word2vec_0.90,28,0.366,0.433,-0.436518914606
1063,Normal,word2vec_0.90,29,0.372,0.649,-0.429457060118
1064,Normal,word2vec_0.90,30,0.368,0.222,-0.434152181326
1065,Normal,word2vec_0.90,31,0.362,0.3,-0.441291429467
1066,Normal,word2vec_0.90,32,0.34,0.387,-0.468521082958
1067,Normal,word2vec_0.90,33,0.337,0.5,-0.472370099129
1068,Normal,word2vec_0.90,34,0.335,0.2,-0.474955192963
1069,Normal,word2vec_0.90,35,0.336,0.625,-0.47366072261
1070,Normal,word2vec_0.90,36,0.334,0.286,-0.476253533188
1071,Normal,word2vec_0.90,37,0.332,0.2,-0.478861916296
1072,Normal,word2vec_0.90,38,0.318,0.391,-0.497572880016
1073,Normal,word2vec_0.90,39,0.316,0.444,-0.500312917382
1074,Normal,word2vec_0.90,40,0.315,0.364,-0.50168944621
1075,Normal,word2vec_0.90,41,0.316,0.8,-0.500312917382
1076,Normal,word2vec_0.90,42,0.315,0.393,-0.50168944621
1077,Normal,word2vec_0.90,43,0.311,0.125,-0.507239610973
1078,Normal,word2vec_0.90,44,0.31,0.176,-0.508638306166
1079,Normal,word2vec_0.90,45,0.302,0.271,-0.519993057043
1080,NewAtEnd,word2vec_0.20,1,0.047,0.151,-1.32790214206
1081,NewAtEnd,word2vec_0.20,2,0.033,0.029,-1.48148606012
1082,NewAtEnd,word2vec_0.20,3,0.031,0.0,-1.50863830617
1083,NewAtEnd,word2vec_0.20,4,0.027,0.0,-1.56863623584
1084,NewAtEnd,word2vec_0.20,5,0.016,0.018,-1.79588001734
1085,NewAtEnd,word2vec_0.20,6,0.02,0.054,-1.69897000434
1086,NewAtEnd,word2vec_0.20,7,0.023,0.071,-1.63827216398
1087,NewAtEnd,word2vec_0.20,8,0.027,0.052,-1.56863623584
1088,NewAtEnd,word2vec_0.20,9,0.024,0.0,-1.61978875829
1089,NewAtEnd,word2vec_0.20,10,0.023,0.0,-1.63827216398
1090,NewAtEnd,word2vec_0.20,11,0.02,0.043,-1.69897000434
1091,NewAtEnd,word2vec_0.20,12,0.023,0.182,-1.63827216398
1092,NewAtEnd,word2vec_0.20,13,0.024,0.111,-1.61978875829
1093,NewAtEnd,word2vec_0.20,14,0.024,0.0,-1.61978875829
1094,NewAtEnd,word2vec_0.20,15,0.024,0.0,-1.61978875829
1095,NewAtEnd,word2vec_0.20,16,0.025,0.111,-1.60205999133
1096,NewAtEnd,word2vec_0.20,17,0.022,0.021,-1.65757731918
1097,NewAtEnd,word2vec_0.20,18,0.023,0.143,-1.63827216398
1098,NewAtEnd,word2vec_0.20,19,0.023,0.036,-1.63827216398
1099,NewAtEnd,word2vec_0.20,20,0.023,0.0,-1.63827216398
1100,NewAtEnd,word2vec_0.20,21,0.022,0.0,-1.65757731918
1101,NewAtEnd,word2vec_0.20,22,0.021,0.0,-1.67778070527
1102,NewAtEnd,word2vec_0.20,23,0.021,0.0,-1.67778070527
1103,NewAtEnd,word2vec_0.20,24,0.021,0.028,-1.67778070527
1104,NewAtEnd,word2vec_0.20,25,0.021,0.0,-1.67778070527
1105,NewAtEnd,word2vec_0.20,26,0.022,0.077,-1.65757731918
1106,NewAtEnd,word2vec_0.20,27,0.021,0.0,-1.67778070527
1107,NewAtEnd,word2vec_0.20,28,0.021,0.0,-1.67778070527
1108,NewAtEnd,word2vec_0.20,29,0.021,0.0,-1.67778070527
1109,NewAtEnd,word2vec_0.20,30,0.021,0.0,-1.67778070527
1110,NewAtEnd,word2vec_0.20,31,0.021,0.022,-1.67778070527
1111,NewAtEnd,word2vec_0.20,32,0.021,0.0,-1.67778070527
1112,NewAtEnd,word2vec_0.20,33,0.02,0.0,-1.69897000434
1113,NewAtEnd,word2vec_0.20,34,0.02,0.0,-1.69897000434
1114,NewAtEnd,word2vec_0.20,35,0.02,0.0,-1.69897000434
1115,NewAtEnd,word2vec_0.20,36,0.02,0.063,-1.69897000434
1116,NewAtEnd,word2vec_0.20,37,0.02,0.0,-1.69897000434
1117,NewAtEnd,word2vec_0.20,38,0.022,0.3,-1.65757731918
1118,NewAtEnd,word2vec_0.20,39,0.022,0.0,-1.65757731918
1119,NewAtEnd,word2vec_0.20,40,0.021,0.0,-1.67778070527
1120,NewAtEnd,word2vec_0.20,41,0.021,0.0,-1.67778070527
1121,NewAtEnd,word2vec_0.20,42,0.021,0.0,-1.67778070527
1122,NewAtEnd,word2vec_0.20,43,0.019,0.011,-1.72124639905
1123,NewAtEnd,word2vec_0.20,44,0.02,0.028,-1.69897000434
1124,NewAtEnd,word2vec_0.20,45,0.02,0.0,-1.69897000434
1125,NewAtEnd,word2vec_0.30,1,0.081,0.233,-1.09151498112
1126,NewAtEnd,word2vec_0.30,2,0.058,0.059,-1.23657200644
1127,NewAtEnd,word2vec_0.30,3,0.038,0.0,-1.42021640338
1128,NewAtEnd,word2vec_0.30,4,0.034,0.0,-1.46852108296
1129,NewAtEnd,word2vec_0.30,5,0.031,0.054,-1.50863830617
1130,NewAtEnd,word2vec_0.30,6,0.037,0.108,-1.43179827593
1131,NewAtEnd,word2vec_0.30,7,0.042,0.143,-1.3767507096
1132,NewAtEnd,word2vec_0.30,8,0.041,0.067,-1.38721614328
1133,NewAtEnd,word2vec_0.30,9,0.037,0.0,-1.43179827593
1134,NewAtEnd,word2vec_0.30,10,0.035,0.0,-1.45593195565
1135,NewAtEnd,word2vec_0.30,11,0.028,0.05,-1.55284196866
1136,NewAtEnd,word2vec_0.30,12,0.031,0.182,-1.50863830617
1137,NewAtEnd,word2vec_0.30,13,0.032,0.111,-1.49485002168
1138,NewAtEnd,word2vec_0.30,14,0.031,0.0,-1.50863830617
1139,NewAtEnd,word2vec_0.30,15,0.031,0.0,-1.50863830617
1140,NewAtEnd,word2vec_0.30,16,0.032,0.111,-1.49485002168
1141,NewAtEnd,word2vec_0.30,17,0.029,0.029,-1.5376020021
1142,NewAtEnd,word2vec_0.30,18,0.03,0.143,-1.52287874528
1143,NewAtEnd,word2vec_0.30,19,0.029,0.036,-1.5376020021
1144,NewAtEnd,word2vec_0.30,20,0.028,0.0,-1.55284196866
1145,NewAtEnd,word2vec_0.30,21,0.028,0.0,-1.55284196866
1146,NewAtEnd,word2vec_0.30,22,0.025,0.0,-1.60205999133
1147,NewAtEnd,word2vec_0.30,23,0.025,0.0,-1.60205999133
1148,NewAtEnd,word2vec_0.30,24,0.026,0.042,-1.58502665203
1149,NewAtEnd,word2vec_0.30,25,0.026,0.0,-1.58502665203
1150,NewAtEnd,word2vec_0.30,26,0.026,0.077,-1.58502665203
1151,NewAtEnd,word2vec_0.30,27,0.026,0.0,-1.58502665203
1152,NewAtEnd,word2vec_0.30,28,0.026,0.0,-1.58502665203
1153,NewAtEnd,word2vec_0.30,29,0.026,0.0,-1.58502665203
1154,NewAtEnd,word2vec_0.30,30,0.025,0.0,-1.60205999133
1155,NewAtEnd,word2vec_0.30,31,0.024,0.022,-1.61978875829
1156,NewAtEnd,word2vec_0.30,32,0.024,0.0,-1.61978875829
1157,NewAtEnd,word2vec_0.30,33,0.024,0.0,-1.61978875829
1158,NewAtEnd,word2vec_0.30,34,0.024,0.0,-1.61978875829
1159,NewAtEnd,word2vec_0.30,35,0.023,0.0,-1.63827216398
1160,NewAtEnd,word2vec_0.30,36,0.024,0.063,-1.61978875829
1161,NewAtEnd,word2vec_0.30,37,0.023,0.0,-1.63827216398
1162,NewAtEnd,word2vec_0.30,38,0.026,0.4,-1.58502665203
1163,NewAtEnd,word2vec_0.30,39,0.026,0.0,-1.58502665203
1164,NewAtEnd,word2vec_0.30,40,0.025,0.0,-1.60205999133
1165,NewAtEnd,word2vec_0.30,41,0.024,0.0,-1.61978875829
1166,NewAtEnd,word2vec_0.30,42,0.024,0.0,-1.61978875829
1167,NewAtEnd,word2vec_0.30,43,0.022,0.011,-1.65757731918
1168,NewAtEnd,word2vec_0.30,44,0.022,0.056,-1.65757731918
1169,NewAtEnd,word2vec_0.30,45,0.022,0.0,-1.65757731918
1170,NewAtEnd,word2vec_0.40,1,0.198,0.407,-0.703334809738
1171,NewAtEnd,word2vec_0.40,2,0.15,0.118,-0.823908740944
1172,NewAtEnd,word2vec_0.40,3,0.16,0.364,-0.795880017344
1173,NewAtEnd,word2vec_0.40,4,0.158,0.2,-0.801342913046
1174,NewAtEnd,word2vec_0.40,5,0.105,0.134,-0.97881070093
1175,NewAtEnd,word2vec_0.40,6,0.085,0.081,-1.07058107429
1176,NewAtEnd,word2vec_0.40,7,0.084,0.143,-1.07572071394
1177,NewAtEnd,word2vec_0.40,8,0.079,0.104,-1.10237290871
1178,NewAtEnd,word2vec_0.40,9,0.074,0.0,-1.13076828027
1179,NewAtEnd,word2vec_0.40,10,0.071,0.0,-1.14874165128
1180,NewAtEnd,word2vec_0.40,11,0.056,0.099,-1.25181197299
1181,NewAtEnd,word2vec_0.40,12,0.058,0.273,-1.23657200644
1182,NewAtEnd,word2vec_0.40,13,0.059,0.111,-1.22914798836
1183,NewAtEnd,word2vec_0.40,14,0.057,0.0,-1.24412514433
1184,NewAtEnd,word2vec_0.40,15,0.056,0.0,-1.25181197299
1185,NewAtEnd,word2vec_0.40,16,0.057,0.111,-1.24412514433
1186,NewAtEnd,word2vec_0.40,17,0.052,0.071,-1.28399665637
1187,NewAtEnd,word2vec_0.40,18,0.054,0.286,-1.26760624018
1188,NewAtEnd,word2vec_0.40,19,0.056,0.107,-1.25181197299
1189,NewAtEnd,word2vec_0.40,20,0.055,0.0,-1.25963731051
1190,NewAtEnd,word2vec_0.40,21,0.052,0.0,-1.28399665637
1191,NewAtEnd,word2vec_0.40,22,0.048,0.0,-1.31875876262
1192,NewAtEnd,word2vec_0.40,23,0.048,0.0,-1.31875876262
1193,NewAtEnd,word2vec_0.40,24,0.044,0.042,-1.35654732351
1194,NewAtEnd,word2vec_0.40,25,0.044,0.0,-1.35654732351
1195,NewAtEnd,word2vec_0.40,26,0.044,0.077,-1.35654732351
1196,NewAtEnd,word2vec_0.40,27,0.044,0.0,-1.35654732351
1197,NewAtEnd,word2vec_0.40,28,0.043,0.0,-1.36653154442
1198,NewAtEnd,word2vec_0.40,29,0.044,0.1,-1.35654732351
1199,NewAtEnd,word2vec_0.40,30,0.044,0.0,-1.35654732351
1200,NewAtEnd,word2vec_0.40,31,0.044,0.044,-1.35654732351
1201,NewAtEnd,word2vec_0.40,32,0.043,0.0,-1.36653154442
1202,NewAtEnd,word2vec_0.40,33,0.043,0.0,-1.36653154442
1203,NewAtEnd,word2vec_0.40,34,0.042,0.0,-1.3767507096
1204,NewAtEnd,word2vec_0.40,35,0.041,0.0,-1.38721614328
1205,NewAtEnd,word2vec_0.40,36,0.042,0.125,-1.3767507096
1206,NewAtEnd,word2vec_0.40,37,0.043,0.083,-1.36653154442
1207,NewAtEnd,word2vec_0.40,38,0.045,0.4,-1.34678748622
1208,NewAtEnd,word2vec_0.40,39,0.044,0.0,-1.35654732351
1209,NewAtEnd,word2vec_0.40,40,0.045,0.2,-1.34678748622
1210,NewAtEnd,word2vec_0.40,41,0.043,0.061,-1.36653154442
1211,NewAtEnd,word2vec_0.40,42,0.042,0.0,-1.3767507096
1212,NewAtEnd,word2vec_0.40,43,0.037,0.033,-1.43179827593
1213,NewAtEnd,word2vec_0.40,44,0.037,0.083,-1.43179827593
1214,NewAtEnd,word2vec_0.40,45,0.037,0.0,-1.43179827593
1215,NewAtEnd,word2vec_0.50,1,0.395,0.581,-0.403402904374
1216,NewAtEnd,word2vec_0.50,2,0.325,0.324,-0.488116639021
1217,NewAtEnd,word2vec_0.50,3,0.336,0.455,-0.47366072261
1218,NewAtEnd,word2vec_0.50,4,0.322,0.267,-0.492144128304
1219,NewAtEnd,word2vec_0.50,5,0.221,0.232,-0.655607726315
1220,NewAtEnd,word2vec_0.50,6,0.203,0.243,-0.692503962087
1221,NewAtEnd,word2vec_0.50,7,0.197,0.286,-0.705533773838
1222,NewAtEnd,word2vec_0.50,8,0.16,0.201,-0.795880017344
1223,NewAtEnd,word2vec_0.50,9,0.155,0.067,-0.80966830183
1224,NewAtEnd,word2vec_0.50,10,0.146,0.048,-0.835647144216
1225,NewAtEnd,word2vec_0.50,11,0.12,0.174,-0.920818753952
1226,NewAtEnd,word2vec_0.50,12,0.123,0.364,-0.910094888561
1227,NewAtEnd,word2vec_0.50,13,0.123,0.111,-0.910094888561
1228,NewAtEnd,word2vec_0.50,14,0.121,0.125,-0.917214629684
1229,NewAtEnd,word2vec_0.50,15,0.121,0.083,-0.917214629684
1230,NewAtEnd,word2vec_0.50,16,0.12,0.111,-0.920818753952
1231,NewAtEnd,word2vec_0.50,17,0.107,0.171,-0.970616222315
1232,NewAtEnd,word2vec_0.50,18,0.109,0.429,-0.962573502059
1233,NewAtEnd,word2vec_0.50,19,0.11,0.179,-0.958607314842
1234,NewAtEnd,word2vec_0.50,20,0.108,0.0,-0.966576244513
1235,NewAtEnd,word2vec_0.50,21,0.105,0.0,-0.97881070093
1236,NewAtEnd,word2vec_0.50,22,0.095,0.032,-1.02227639471
1237,NewAtEnd,word2vec_0.50,23,0.094,0.0,-1.0268721464
1238,NewAtEnd,word2vec_0.50,24,0.092,0.141,-1.03621217265
1239,NewAtEnd,word2vec_0.50,25,0.092,0.067,-1.03621217265
1240,NewAtEnd,word2vec_0.50,26,0.092,0.077,-1.03621217265
1241,NewAtEnd,word2vec_0.50,27,0.091,0.0,-1.04095860768
1242,NewAtEnd,word2vec_0.50,28,0.09,0.0,-1.04575749056
1243,NewAtEnd,word2vec_0.50,29,0.091,0.3,-1.04095860768
1244,NewAtEnd,word2vec_0.50,30,0.091,0.0,-1.04095860768
1245,NewAtEnd,word2vec_0.50,31,0.087,0.044,-1.06048074738
1246,NewAtEnd,word2vec_0.50,32,0.087,0.056,-1.06048074738
1247,NewAtEnd,word2vec_0.50,33,0.086,0.0,-1.06550154876
1248,NewAtEnd,word2vec_0.50,34,0.087,0.133,-1.06048074738
1249,NewAtEnd,word2vec_0.50,35,0.084,0.0,-1.07572071394
1250,NewAtEnd,word2vec_0.50,36,0.085,0.125,-1.07058107429
1251,NewAtEnd,word2vec_0.50,37,0.086,0.167,-1.06550154876
1252,NewAtEnd,word2vec_0.50,38,0.087,0.4,-1.06048074738
1253,NewAtEnd,word2vec_0.50,39,0.086,0.0,-1.06550154876
1254,NewAtEnd,word2vec_0.50,40,0.086,0.2,-1.06550154876
1255,NewAtEnd,word2vec_0.50,41,0.083,0.121,-1.08092190762
1256,NewAtEnd,word2vec_0.50,42,0.082,0.0,-1.08618614762
1257,NewAtEnd,word2vec_0.50,43,0.075,0.088,-1.12493873661
1258,NewAtEnd,word2vec_0.50,44,0.073,0.111,-1.13667713988
1259,NewAtEnd,word2vec_0.50,45,0.073,0.2,-1.13667713988
1260,NewAtEnd,word2vec_0.60,1,0.535,0.686,-0.271646217979
1261,NewAtEnd,word2vec_0.60,2,0.417,0.412,-0.379863945026
1262,NewAtEnd,word2vec_0.60,3,0.443,0.727,-0.353596273777
1263,NewAtEnd,word2vec_0.60,4,0.432,0.467,-0.364516253185
1264,NewAtEnd,word2vec_0.60,5,0.306,0.33,-0.514278573518
1265,NewAtEnd,word2vec_0.60,6,0.312,0.432,-0.505845405982
1266,NewAtEnd,word2vec_0.60,7,0.311,0.429,-0.507239610973
1267,NewAtEnd,word2vec_0.60,8,0.287,0.381,-0.542118103266
1268,NewAtEnd,word2vec_0.60,9,0.286,0.333,-0.543633966871
1269,NewAtEnd,word2vec_0.60,10,0.273,0.095,-0.563837352959
1270,NewAtEnd,word2vec_0.60,11,0.228,0.261,-0.642065153
1271,NewAtEnd,word2vec_0.60,12,0.23,0.455,-0.638272163982
1272,NewAtEnd,word2vec_0.60,13,0.229,0.111,-0.64016451766
1273,NewAtEnd,word2vec_0.60,14,0.231,0.375,-0.636388020108
1274,NewAtEnd,word2vec_0.60,15,0.226,0.083,-0.645891560853
1275,NewAtEnd,word2vec_0.60,16,0.226,0.222,-0.645891560853
1276,NewAtEnd,word2vec_0.60,17,0.206,0.279,-0.686132779631
1277,NewAtEnd,word2vec_0.60,18,0.209,0.571,-0.679853713889
1278,NewAtEnd,word2vec_0.60,19,0.209,0.321,-0.679853713889
1279,NewAtEnd,word2vec_0.60,20,0.206,0.0,-0.686132779631
1280,NewAtEnd,word2vec_0.60,21,0.204,0.118,-0.690369832574
1281,NewAtEnd,word2vec_0.60,22,0.192,0.159,-0.716698771296
1282,NewAtEnd,word2vec_0.60,23,0.19,0.0,-0.721246399047
1283,NewAtEnd,word2vec_0.60,24,0.181,0.225,-0.742321425131
1284,NewAtEnd,word2vec_0.60,25,0.18,0.2,-0.744727494897
1285,NewAtEnd,word2vec_0.60,26,0.178,0.077,-0.749579997691
1286,NewAtEnd,word2vec_0.60,27,0.175,0.0,-0.756961951314
1287,NewAtEnd,word2vec_0.60,28,0.173,0.0,-0.761953896871
1288,NewAtEnd,word2vec_0.60,29,0.176,0.5,-0.754487332186
1289,NewAtEnd,word2vec_0.60,30,0.174,0.0,-0.759450751717
1290,NewAtEnd,word2vec_0.60,31,0.169,0.156,-0.772113295386
1291,NewAtEnd,word2vec_0.60,32,0.166,0.056,-0.77989191196
1292,NewAtEnd,word2vec_0.60,33,0.166,0.111,-0.77989191196
1293,NewAtEnd,word2vec_0.60,34,0.164,0.133,-0.785156151952
1294,NewAtEnd,word2vec_0.60,35,0.16,0.053,-0.795880017344
1295,NewAtEnd,word2vec_0.60,36,0.158,0.188,-0.801342913046
1296,NewAtEnd,word2vec_0.60,37,0.159,0.25,-0.79860287568
1297,NewAtEnd,word2vec_0.60,38,0.16,0.4,-0.795880017344
1298,NewAtEnd,word2vec_0.60,39,0.159,0.0,-0.79860287568
1299,NewAtEnd,word2vec_0.60,40,0.16,0.4,-0.795880017344
1300,NewAtEnd,word2vec_0.60,41,0.159,0.273,-0.79860287568
1301,NewAtEnd,word2vec_0.60,42,0.157,0.0,-0.804100347591
1302,NewAtEnd,word2vec_0.60,43,0.153,0.231,-0.815308569182
1303,NewAtEnd,word2vec_0.60,44,0.155,0.361,-0.80966830183
1304,NewAtEnd,word2vec_0.60,45,0.154,0.0,-0.812479279164
1305,NewAtEnd,word2vec_0.70,1,0.686,0.791,-0.163675884293
1306,NewAtEnd,word2vec_0.70,2,0.533,0.5,-0.273272790973
1307,NewAtEnd,word2vec_0.70,3,0.557,0.909,-0.254144804826
1308,NewAtEnd,word2vec_0.70,4,0.548,0.6,-0.261219441516
1309,NewAtEnd,word2vec_0.70,5,0.461,0.536,-0.33629907461
1310,NewAtEnd,word2vec_0.70,6,0.447,0.514,-0.349692476868
1311,NewAtEnd,word2vec_0.70,7,0.44,0.5,-0.356547323514
1312,NewAtEnd,word2vec_0.70,8,0.418,0.5,-0.378823718225
1313,NewAtEnd,word2vec_0.70,9,0.413,0.4,-0.384049948344
1314,NewAtEnd,word2vec_0.70,10,0.395,0.238,-0.403402904374
1315,NewAtEnd,word2vec_0.70,11,0.338,0.36,-0.471083299722
1316,NewAtEnd,word2vec_0.70,12,0.339,0.545,-0.469800301797
1317,NewAtEnd,word2vec_0.70,13,0.341,0.444,-0.467245621008
1318,NewAtEnd,word2vec_0.70,14,0.343,0.625,-0.464705879957
1319,NewAtEnd,word2vec_0.70,15,0.337,0.167,-0.472370099129
1320,NewAtEnd,word2vec_0.70,16,0.334,0.222,-0.476253533188
1321,NewAtEnd,word2vec_0.70,17,0.311,0.414,-0.507239610973
1322,NewAtEnd,word2vec_0.70,18,0.315,0.714,-0.50168944621
1323,NewAtEnd,word2vec_0.70,19,0.318,0.5,-0.497572880016
1324,NewAtEnd,word2vec_0.70,20,0.316,0.188,-0.500312917382
1325,NewAtEnd,word2vec_0.70,21,0.312,0.118,-0.505845405982
1326,NewAtEnd,word2vec_0.70,22,0.297,0.238,-0.527243550683
1327,NewAtEnd,word2vec_0.70,23,0.296,0.286,-0.528708288941
1328,NewAtEnd,word2vec_0.70,24,0.287,0.394,-0.542118103266
1329,NewAtEnd,word2vec_0.70,25,0.286,0.267,-0.543633966871
1330,NewAtEnd,word2vec_0.70,26,0.282,0.154,-0.549750891681
1331,NewAtEnd,word2vec_0.70,27,0.279,0.091,-0.554395796726
1332,NewAtEnd,word2vec_0.70,28,0.276,0.2,-0.559090917935
1333,NewAtEnd,word2vec_0.70,29,0.279,0.6,-0.554395796726
1334,NewAtEnd,word2vec_0.70,30,0.278,0.167,-0.555955204082
1335,NewAtEnd,word2vec_0.70,31,0.269,0.244,-0.570247719998
1336,NewAtEnd,word2vec_0.70,32,0.265,0.111,-0.576754126063
1337,NewAtEnd,word2vec_0.70,33,0.265,0.222,-0.576754126063
1338,NewAtEnd,word2vec_0.70,34,0.262,0.2,-0.58169870868
1339,NewAtEnd,word2vec_0.70,35,0.257,0.158,-0.590066876669
1340,NewAtEnd,word2vec_0.70,36,0.254,0.188,-0.59516628338
1341,NewAtEnd,word2vec_0.70,37,0.254,0.333,-0.59516628338
1342,NewAtEnd,word2vec_0.70,38,0.254,0.4,-0.59516628338
1343,NewAtEnd,word2vec_0.70,39,0.253,0.4,-0.596879478824
1344,NewAtEnd,word2vec_0.70,40,0.256,1.0,-0.591760034688
1345,NewAtEnd,word2vec_0.70,41,0.255,0.364,-0.593459819566
1346,NewAtEnd,word2vec_0.70,42,0.253,0.231,-0.596879478824
1347,NewAtEnd,word2vec_0.70,43,0.246,0.341,-0.609064892897
1348,NewAtEnd,word2vec_0.70,44,0.248,0.528,-0.605548319174
1349,NewAtEnd,word2vec_0.70,45,0.247,0.2,-0.60730304674
1350,NewAtEnd,word2vec_0.80,1,0.686,0.814,-0.163675884293
1351,NewAtEnd,word2vec_0.80,2,0.55,0.529,-0.259637310506
1352,NewAtEnd,word2vec_0.80,3,0.573,0.909,-0.241845378033
1353,NewAtEnd,word2vec_0.80,4,0.562,0.6,-0.250263684431
1354,NewAtEnd,word2vec_0.80,5,0.5,0.598,-0.301029995664
1355,NewAtEnd,word2vec_0.80,6,0.492,0.568,-0.308034897233
1356,NewAtEnd,word2vec_0.80,7,0.489,0.571,-0.310691140876
1357,NewAtEnd,word2vec_0.80,8,0.465,0.545,-0.33254704711
1358,NewAtEnd,word2vec_0.80,9,0.461,0.467,-0.33629907461
1359,NewAtEnd,word2vec_0.80,10,0.441,0.286,-0.355561410532
1360,NewAtEnd,word2vec_0.80,11,0.388,0.41,-0.411168274406
1361,NewAtEnd,word2vec_0.80,12,0.392,0.636,-0.40671393298
1362,NewAtEnd,word2vec_0.80,13,0.394,0.556,-0.404503778174
1363,NewAtEnd,word2vec_0.80,14,0.395,0.625,-0.403402904374
1364,NewAtEnd,word2vec_0.80,15,0.387,0.167,-0.412289034981
1365,NewAtEnd,word2vec_0.80,16,0.383,0.222,-0.416801226031
