,corr_true,dataset,decline_slope,exp_slope,method,run,threshold
0,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.20,0.20
1,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.30,0.30
2,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.40,0.40
3,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.50,0.50
4,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.60,0.60
5,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.70,0.70
6,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.80,0.80
7,0.0,A12U7YNO0GKNKZ,,,word2vec,word2vec_0.90,0.90
8,0.939142933686,A14SABDOE6QHMK,-2.53791309616,-0.101248668244,word2vec,word2vec_0.20,0.20
9,0.954567358054,A14SABDOE6QHMK,-5.18197271577,-0.133523594783,word2vec,word2vec_0.30,0.30
10,0.932552882191,A14SABDOE6QHMK,-7.99115728077,-0.0800033773392,word2vec,word2vec_0.40,0.40
11,0.902771732218,A14SABDOE6QHMK,-8.11627339107,-0.0585870438182,word2vec,word2vec_0.50,0.50
12,0.91579316104,A14SABDOE6QHMK,-6.43662393273,-0.0409153200485,word2vec,word2vec_0.60,0.60
13,0.884705223847,A14SABDOE6QHMK,-5.63951162902,-0.0325167626867,word2vec,word2vec_0.70,0.70
14,0.829870435284,A14SABDOE6QHMK,-5.18812274014,-0.0293330093358,word2vec,word2vec_0.80,0.80
15,0.787341305755,A14SABDOE6QHMK,-4.6424878195,-0.025535124225,word2vec,word2vec_0.90,0.90
16,-0.0266374800917,A171C7B6HHSEGH,3.33333333335,0.110924374809,word2vec,word2vec_0.20,0.20
17,0.993734535871,A171C7B6HHSEGH,-1.66666666665,-0.0395906230234,word2vec,word2vec_0.30,0.30
18,-0.225017580178,A171C7B6HHSEGH,1.66666666665,0.0228787452801,word2vec,word2vec_0.40,0.40
19,-0.225017580178,A171C7B6HHSEGH,1.66666666665,0.0228787452801,word2vec,word2vec_0.50,0.50
20,0.700472796914,A171C7B6HHSEGH,-0.55555555555,-0.00611722820844,word2vec,word2vec_0.60,0.60
21,0.835230210615,A171C7B6HHSEGH,-0.55555555555,-0.00611722820844,word2vec,word2vec_0.70,0.70
22,0.835230210615,A171C7B6HHSEGH,-0.55555555555,-0.00611722820844,word2vec,word2vec_0.80,0.80
23,0.835230210615,A171C7B6HHSEGH,-0.55555555555,-0.00611722820844,word2vec,word2vec_0.90,0.90
24,0.827485926701,A18FK1XR73EQ2W,-1.92435968503,-0.07738809714,word2vec,word2vec_0.20,0.20
25,0.456831603719,A18FK1XR73EQ2W,-0.398765868272,-0.00875476324953,word2vec,word2vec_0.30,0.30
26,0.730007176723,A18FK1XR73EQ2W,-2.80583796284,-0.0491553337911,word2vec,word2vec_0.40,0.40
27,0.673905335509,A18FK1XR73EQ2W,-2.24581922142,-0.0259218047687,word2vec,word2vec_0.50,0.50
28,0.693112678002,A18FK1XR73EQ2W,-4.88776619722,-0.0420830521169,word2vec,word2vec_0.60,0.60
29,0.734853854867,A18FK1XR73EQ2W,-8.1916904234,-0.0490656896968,word2vec,word2vec_0.70,0.70
30,0.690490334351,A18FK1XR73EQ2W,-8.02908879738,-0.0476530697588,word2vec,word2vec_0.80,0.80
31,0.690490334351,A18FK1XR73EQ2W,-8.02908879738,-0.0476530697588,word2vec,word2vec_0.90,0.90
32,0.878698235973,A197AERSF5SIS4,-3.92431959493,-0.0820316722258,word2vec,word2vec_0.20,0.20
33,0.923197200678,A197AERSF5SIS4,-7.91817967662,-0.0861259143676,word2vec,word2vec_0.30,0.30
34,0.871804413705,A197AERSF5SIS4,-6.36471317218,-0.052044642856,word2vec,word2vec_0.40,0.40
35,0.900609653794,A197AERSF5SIS4,-4.05792888217,-0.0217565897828,word2vec,word2vec_0.50,0.50
36,0.821605578651,A197AERSF5SIS4,-3.27346227345,-0.0158303605951,word2vec,word2vec_0.60,0.60
37,0.540949442934,A197AERSF5SIS4,-3.11029249552,-0.0167704053117,word2vec,word2vec_0.70,0.70
38,0.560839787875,A197AERSF5SIS4,-3.01691372544,-0.0163237969274,word2vec,word2vec_0.80,0.80
39,0.57560186197,A197AERSF5SIS4,-2.08786365423,-0.0103096332037,word2vec,word2vec_0.90,0.90
40,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.20,0.20
41,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.30,0.30
42,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.40,0.40
43,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.50,0.50
44,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.60,0.60
45,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.70,0.70
46,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.80,0.80
47,0.0,A1D01TUSE0H5TW,,,word2vec,word2vec_0.90,0.90
48,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.20,0.20
49,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.30,0.30
50,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.40,0.40
51,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.50,0.50
52,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.60,0.60
53,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.70,0.70
54,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.80,0.80
55,0.0,A1F4D2PZ7NNWTL,,,word2vec,word2vec_0.90,0.90
56,0.685972629336,A1FKZ2HY4XKMG1,-0.730311034897,-0.0538363500357,word2vec,word2vec_0.20,0.20
57,0.72928126251,A1FKZ2HY4XKMG1,-2.43672140173,-0.0769242653786,word2vec,word2vec_0.30,0.30
58,0.910506481653,A1FKZ2HY4XKMG1,-0.614514118298,-0.0102751325255,word2vec,word2vec_0.40,0.40
59,0.836038356636,A1FKZ2HY4XKMG1,-4.1202312423,-0.0411719003554,word2vec,word2vec_0.50,0.50
60,0.526812001219,A1FKZ2HY4XKMG1,-2.04185399237,-0.0172339291498,word2vec,word2vec_0.60,0.60
61,0.598203253812,A1FKZ2HY4XKMG1,-2.95083772803,-0.0199593145599,word2vec,word2vec_0.70,0.70
62,0.709970517659,A1FKZ2HY4XKMG1,-2.38505509785,-0.0156555077436,word2vec,word2vec_0.80,0.80
63,0.709970517659,A1FKZ2HY4XKMG1,-2.38505509785,-0.0156555077436,word2vec,word2vec_0.90,0.90
64,0.448585088144,A1HBU82366WX00,0.25055243923,0.0134113570211,word2vec,word2vec_0.20,0.20
65,0.482423306265,A1HBU82366WX00,1.69515553289,0.0383810125081,word2vec,word2vec_0.30,0.30
66,0.511904503249,A1HBU82366WX00,1.29515553289,0.0325818178104,word2vec,word2vec_0.40,0.40
67,0.90547182289,A1HBU82366WX00,-5.30076491587,-0.0389445339915,word2vec,word2vec_0.50,0.50
68,0.80020568633,A1HBU82366WX00,-0.52768995412,-0.0035854369312,word2vec,word2vec_0.60,0.60
69,0.937202747288,A1HBU82366WX00,-3.48074111849,-0.0182137787596,word2vec,word2vec_0.70,0.70
70,0.862213639118,A1HBU82366WX00,-2.34866564678,-0.0120083991016,word2vec,word2vec_0.80,0.80
71,0.862213639118,A1HBU82366WX00,-2.34866564678,-0.0120083991016,word2vec,word2vec_0.90,0.90
72,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.20,0.20
73,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.30,0.30
74,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.40,0.40
75,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.50,0.50
76,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.60,0.60
77,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.70,0.70
78,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.80,0.80
79,0.0,A1IRNC2JDX4YVU,,,word2vec,word2vec_0.90,0.90
80,0.816509047699,A1KJMZABBJG6HV,-0.35913807589,,word2vec,word2vec_0.20,0.20
81,0.793649035363,A1KJMZABBJG6HV,-1.18404588984,-0.0166577647135,word2vec,word2vec_0.30,0.30
82,0.500798398098,A1KJMZABBJG6HV,0.284761018996,0.00573359200453,word2vec,word2vec_0.40,0.40
83,0.340003036908,A1KJMZABBJG6HV,1.70564193809,0.0232265559691,word2vec,word2vec_0.50,0.50
84,0.629320834593,A1KJMZABBJG6HV,0.609411510041,0.00671763881525,word2vec,word2vec_0.60,0.60
85,0.703264799985,A1KJMZABBJG6HV,0.256075729815,0.00217198797361,word2vec,word2vec_0.70,0.70
86,0.731501201871,A1KJMZABBJG6HV,-1.89409172868,-0.00973136572544,word2vec,word2vec_0.80,0.80
87,0.731501201871,A1KJMZABBJG6HV,-1.89409172868,-0.00973136572544,word2vec,word2vec_0.90,0.90
88,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.20,0.20
89,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.30,0.30
90,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.40,0.40
91,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.50,0.50
92,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.60,0.60
93,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.70,0.70
94,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.80,0.80
95,0.0,A1L3CBYMK1QS2Z,,,word2vec,word2vec_0.90,0.90
96,0.765805207421,A1LOD3LNX7FUPJ,-2.9761904762,-0.0590496560392,word2vec,word2vec_0.20,0.20
97,0.765805207421,A1LOD3LNX7FUPJ,-2.9761904762,-0.0590496560392,word2vec,word2vec_0.30,0.30
98,0.352720751976,A1LOD3LNX7FUPJ,6.5476190476,0.0914653417928,word2vec,word2vec_0.40,0.40
99,0.852099302038,A1LOD3LNX7FUPJ,-13.6904761905,-0.098640279063,word2vec,word2vec_0.50,0.50
100,0.959287332563,A1LOD3LNX7FUPJ,-11.3095238095,-0.0779439364835,word2vec,word2vec_0.60,0.60
