dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,nltk_0.60,43,0.29,0.30
SuperBoring,nltk_0.60,44,0.29,0.10
SuperBoring,nltk_0.60,45,0.29,0.00
SuperBoring,nltk_0.80,1,1.00,1.00
SuperBoring,nltk_0.80,2,0.87,0.75
SuperBoring,nltk_0.80,3,0.73,0.71
SuperBoring,nltk_0.80,4,0.77,0.92
SuperBoring,nltk_0.80,5,0.65,0.78
SuperBoring,nltk_0.80,6,0.61,0.64
SuperBoring,nltk_0.80,7,0.58,0.56
SuperBoring,nltk_0.80,8,0.56,0.62
SuperBoring,nltk_0.80,9,0.57,0.71
SuperBoring,nltk_0.80,10,0.53,0.45
SuperBoring,nltk_0.80,11,0.49,0.58
SuperBoring,nltk_0.80,12,0.47,0.51
SuperBoring,nltk_0.80,13,0.46,0.50
SuperBoring,nltk_0.80,14,0.44,0.54
SuperBoring,nltk_0.80,15,0.43,0.51
SuperBoring,nltk_0.80,16,0.40,0.48
SuperBoring,nltk_0.80,17,0.39,0.29
SuperBoring,nltk_0.80,18,0.39,0.27
SuperBoring,nltk_0.80,19,0.39,0.55
SuperBoring,nltk_0.80,20,0.38,0.20
SuperBoring,nltk_0.80,21,0.37,0.40
SuperBoring,nltk_0.80,22,0.37,0.38
SuperBoring,nltk_0.80,23,0.36,0.33
SuperBoring,nltk_0.80,24,0.35,0.35
SuperBoring,nltk_0.80,25,0.34,0.23
SuperBoring,nltk_0.80,26,0.34,0.17
SuperBoring,nltk_0.80,27,0.34,0.11
SuperBoring,nltk_0.80,28,0.33,0.26
SuperBoring,nltk_0.80,29,0.32,0.16
SuperBoring,nltk_0.80,30,0.32,0.36
SuperBoring,nltk_0.80,31,0.32,0.33
SuperBoring,nltk_0.80,32,0.32,0.15
SuperBoring,nltk_0.80,33,0.31,0.11
SuperBoring,nltk_0.80,34,0.31,0.31
SuperBoring,nltk_0.80,35,0.32,0.48
SuperBoring,nltk_0.80,36,0.31,0.00
SuperBoring,nltk_0.80,37,0.31,0.13
SuperBoring,nltk_0.80,38,0.31,0.00
SuperBoring,nltk_0.80,39,0.30,0.17
SuperBoring,nltk_0.80,40,0.30,0.09
SuperBoring,nltk_0.80,41,0.30,0.16
SuperBoring,nltk_0.80,42,0.29,0.25
