dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,word2vec_0.40,38,0.043,0.000
SuperBoring,word2vec_0.40,39,0.043,0.083
SuperBoring,word2vec_0.40,40,0.043,0.000
SuperBoring,word2vec_0.40,41,0.041,0.000
SuperBoring,word2vec_0.40,42,0.041,0.000
SuperBoring,word2vec_0.40,43,0.041,0.000
SuperBoring,word2vec_0.40,44,0.041,0.100
SuperBoring,word2vec_0.40,45,0.041,0.000
SuperBoring,word2vec_0.50,1,0.273,0.636
SuperBoring,word2vec_0.50,2,0.267,0.500
SuperBoring,word2vec_0.50,3,0.182,0.143
SuperBoring,word2vec_0.50,4,0.257,0.462
SuperBoring,word2vec_0.50,5,0.183,0.338
SuperBoring,word2vec_0.50,6,0.204,0.364
SuperBoring,word2vec_0.50,7,0.199,0.222
SuperBoring,word2vec_0.50,8,0.189,0.231
SuperBoring,word2vec_0.50,9,0.197,0.357
SuperBoring,word2vec_0.50,10,0.177,0.150
SuperBoring,word2vec_0.50,11,0.158,0.223
SuperBoring,word2vec_0.50,12,0.152,0.231
SuperBoring,word2vec_0.50,13,0.150,0.300
SuperBoring,word2vec_0.50,14,0.142,0.215
SuperBoring,word2vec_0.50,15,0.139,0.170
SuperBoring,word2vec_0.50,16,0.115,0.145
SuperBoring,word2vec_0.50,17,0.117,0.286
SuperBoring,word2vec_0.50,18,0.115,0.182
SuperBoring,word2vec_0.50,19,0.113,0.000
SuperBoring,word2vec_0.50,20,0.114,0.200
SuperBoring,word2vec_0.50,21,0.104,0.106
SuperBoring,word2vec_0.50,22,0.103,0.077
SuperBoring,word2vec_0.50,23,0.099,0.000
SuperBoring,word2vec_0.50,24,0.091,0.029
SuperBoring,word2vec_0.50,25,0.088,0.000
SuperBoring,word2vec_0.50,26,0.087,0.000
SuperBoring,word2vec_0.50,27,0.086,0.000
SuperBoring,word2vec_0.50,28,0.088,0.174
SuperBoring,word2vec_0.50,29,0.088,0.105
SuperBoring,word2vec_0.50,30,0.088,0.143
SuperBoring,word2vec_0.50,31,0.088,0.111
SuperBoring,word2vec_0.50,32,0.085,0.000
SuperBoring,word2vec_0.50,33,0.086,0.111
SuperBoring,word2vec_0.50,34,0.086,0.188
SuperBoring,word2vec_0.50,35,0.085,0.109
SuperBoring,word2vec_0.50,36,0.085,0.000
SuperBoring,word2vec_0.50,37,0.084,0.000
SuperBoring,word2vec_0.50,38,0.084,0.000
SuperBoring,word2vec_0.50,39,0.083,0.000
SuperBoring,word2vec_0.50,40,0.082,0.000
SuperBoring,word2vec_0.50,41,0.080,0.000
SuperBoring,word2vec_0.50,42,0.079,0.000
SuperBoring,word2vec_0.50,43,0.078,0.000
SuperBoring,word2vec_0.50,44,0.078,0.100
SuperBoring,word2vec_0.50,45,0.078,0.000
SuperBoring,word2vec_0.60,1,0.818,0.909
SuperBoring,word2vec_0.60,2,0.733,0.750
SuperBoring,word2vec_0.60,3,0.591,0.571
SuperBoring,word2vec_0.60,4,0.571,0.692
SuperBoring,word2vec_0.60,5,0.404,0.554
SuperBoring,word2vec_0.60,6,0.394,0.515
SuperBoring,word2vec_0.60,7,0.377,0.444
SuperBoring,word2vec_0.60,8,0.354,0.308
SuperBoring,word2vec_0.60,9,0.354,0.500
SuperBoring,word2vec_0.60,10,0.323,0.200
SuperBoring,word2vec_0.60,11,0.274,0.321
SuperBoring,word2vec_0.60,12,0.281,0.410
SuperBoring,word2vec_0.60,13,0.273,0.300
SuperBoring,word2vec_0.60,14,0.252,0.312
SuperBoring,word2vec_0.60,15,0.240,0.264
SuperBoring,word2vec_0.60,16,0.212,0.271
