dataset,method,timeSlice,GT_predict,true
SuperBoring,word2vec_0.80,9,35.4330708661%,9.09090909091%
SuperBoring,word2vec_0.80,10,32.5925925926%,12.5%
SuperBoring,word2vec_0.80,11,31.2925170068%,33.3333333333%
SuperBoring,word2vec_0.80,12,29.1139240506%,18.1818181818%
SuperBoring,word2vec_0.80,13,28.9156626506%,25.0%
SuperBoring,word2vec_0.90,1,37.5%,68.75%
SuperBoring,word2vec_0.90,2,46.1538461538%,70.0%
SuperBoring,word2vec_0.90,3,40.0%,57.8947368421%
SuperBoring,word2vec_0.90,4,43.1034482759%,61.5384615385%
SuperBoring,word2vec_0.90,5,42.0289855072%,54.5454545455%
SuperBoring,word2vec_0.90,6,44.1558441558%,62.5%
SuperBoring,word2vec_0.90,7,45.5445544554%,62.5%
SuperBoring,word2vec_0.90,8,40.5172413793%,40.0%
SuperBoring,word2vec_0.90,9,35.4330708661%,9.09090909091%
SuperBoring,word2vec_0.90,10,32.5925925926%,12.5%
SuperBoring,word2vec_0.90,11,31.2925170068%,33.3333333333%
SuperBoring,word2vec_0.90,12,29.1139240506%,18.1818181818%
SuperBoring,word2vec_0.90,13,28.9156626506%,25.0%
Boring,word2vec_0.20,1,30.7692307692%,46.1538461538%
Boring,word2vec_0.20,2,19.0476190476%,0.0%
Boring,word2vec_0.20,3,3.63636363636%,8.82352941176%
Boring,word2vec_0.20,4,2.53164556962%,4.16666666667%
Boring,word2vec_0.20,5,3.88349514563%,12.5%
Boring,word2vec_0.20,6,3.30578512397%,0.0%
Boring,word2vec_0.20,7,3.0303030303%,0.0%
Boring,word2vec_0.20,8,2.7397260274%,0.0%
Boring,word2vec_0.20,9,3.68098159509%,11.7647058824%
Boring,word2vec_0.20,10,4.5197740113%,14.2857142857%
Boring,word2vec_0.20,11,4.30107526882%,0.0%
Boring,word2vec_0.20,12,3.58974358974%,0.0%
Boring,word2vec_0.20,13,4.05405405405%,11.1111111111%
Boring,word2vec_0.20,14,4.25531914894%,7.69230769231%
Boring,word2vec_0.20,15,4.06504065041%,0.0%
Boring,word2vec_0.20,16,3.92156862745%,11.1111111111%
Boring,word2vec_0.20,17,3.84615384615%,0.0%
Boring,word2vec_0.30,1,46.1538461538%,61.5384615385%
Boring,word2vec_0.30,2,23.8095238095%,0.0%
Boring,word2vec_0.30,3,3.63636363636%,14.7058823529%
Boring,word2vec_0.30,4,5.06329113924%,12.5%
Boring,word2vec_0.30,5,5.82524271845%,12.5%
Boring,word2vec_0.30,6,5.78512396694%,5.55555555556%
Boring,word2vec_0.30,7,5.30303030303%,0.0%
Boring,word2vec_0.30,8,4.1095890411%,0.0%
Boring,word2vec_0.30,9,4.29447852761%,5.88235294118%
Boring,word2vec_0.30,10,4.5197740113%,14.2857142857%
Boring,word2vec_0.30,11,4.30107526882%,0.0%
Boring,word2vec_0.30,12,3.58974358974%,0.0%
Boring,word2vec_0.30,13,5.40540540541%,18.5185185185%
Boring,word2vec_0.30,14,5.10638297872%,7.69230769231%
Boring,word2vec_0.30,15,4.87804878049%,0.0%
Boring,word2vec_0.30,16,4.70588235294%,11.1111111111%
Boring,word2vec_0.30,17,4.61538461538%,0.0%
Boring,word2vec_0.40,1,61.5384615385%,76.9230769231%
Boring,word2vec_0.40,2,38.0952380952%,12.5%
Boring,word2vec_0.40,3,18.1818181818%,23.5294117647%
Boring,word2vec_0.40,4,17.7215189873%,33.3333333333%
Boring,word2vec_0.40,5,18.4466019417%,29.1666666667%
Boring,word2vec_0.40,6,17.3553719008%,16.6666666667%
Boring,word2vec_0.40,7,15.9090909091%,0.0%
Boring,word2vec_0.40,8,13.698630137%,7.14285714286%
Boring,word2vec_0.40,9,13.4969325153%,11.7647058824%
Boring,word2vec_0.40,10,12.4293785311%,14.2857142857%
Boring,word2vec_0.40,11,11.8279569892%,0.0%
Boring,word2vec_0.40,12,11.2820512821%,11.1111111111%
Boring,word2vec_0.40,13,10.8108108108%,18.5185185185%
Boring,word2vec_0.40,14,10.2127659574%,7.69230769231%
Boring,word2vec_0.40,15,9.75609756098%,0.0%
Boring,word2vec_0.40,16,9.41176470588%,11.1111111111%
Boring,word2vec_0.40,17,9.23076923077%,0.0%
Boring,word2vec_0.50,1,76.9230769231%,84.6153846154%
Boring,word2vec_0.50,2,47.619047619%,37.5%
Boring,word2vec_0.50,3,29.0909090909%,38.2352941176%
Boring,word2vec_0.50,4,32.9113924051%,54.1666666667%
Boring,word2vec_0.50,5,29.1262135922%,33.3333333333%
Boring,word2vec_0.50,6,28.0991735537%,27.7777777778%
Boring,word2vec_0.50,7,26.5151515152%,9.09090909091%
Boring,word2vec_0.50,8,25.3424657534%,21.4285714286%
Boring,word2vec_0.50,9,24.5398773006%,23.5294117647%
Boring,word2vec_0.50,10,23.1638418079%,21.4285714286%
Boring,word2vec_0.50,11,22.5806451613%,11.1111111111%
Boring,word2vec_0.50,12,21.0256410256%,11.1111111111%
Boring,word2vec_0.50,13,18.9189189189%,22.2222222222%
Boring,word2vec_0.50,14,17.4468085106%,7.69230769231%
Boring,word2vec_0.50,15,16.6666666667%,0.0%
Boring,word2vec_0.50,16,15.6862745098%,11.1111111111%
Boring,word2vec_0.50,17,15.0%,0.0%
Boring,word2vec_0.60,1,84.6153846154%,92.3076923077%
Boring,word2vec_0.60,2,66.6666666667%,62.5%
Boring,word2vec_0.60,3,52.7272727273%,61.7647058824%
Boring,word2vec_0.60,4,48.1012658228%,62.5%
Boring,word2vec_0.60,5,38.8349514563%,37.5%
Boring,word2vec_0.60,6,38.8429752066%,50.0%
Boring,word2vec_0.60,7,35.6060606061%,18.1818181818%
Boring,word2vec_0.60,8,36.9863013699%,50.0%
Boring,word2vec_0.60,9,33.7423312883%,29.4117647059%
Boring,word2vec_0.60,10,32.2033898305%,35.7142857143%
Boring,word2vec_0.60,11,31.7204301075%,33.3333333333%
Boring,word2vec_0.60,12,30.7692307692%,44.4444444444%
Boring,word2vec_0.60,13,28.8288288288%,33.3333333333%
Boring,word2vec_0.60,14,26.8085106383%,15.3846153846%
Boring,word2vec_0.60,15,25.6097560976%,0.0%
Boring,word2vec_0.60,16,25.0980392157%,33.3333333333%
Boring,word2vec_0.60,17,24.2307692308%,0.0%
Boring,word2vec_0.70,1,100.0%,100.0%
Boring,word2vec_0.70,2,85.7142857143%,75.0%
Boring,word2vec_0.70,3,65.4545454545%,73.5294117647%
Boring,word2vec_0.70,4,64.5569620253%,79.1666666667%
Boring,word2vec_0.70,5,60.1941747573%,66.6666666667%
Boring,word2vec_0.70,6,60.3305785124%,77.7777777778%
Boring,word2vec_0.70,7,55.303030303%,36.3636363636%
Boring,word2vec_0.70,8,54.1095890411%,50.0%
Boring,word2vec_0.70,9,48.4662576687%,35.2941176471%
Boring,word2vec_0.70,10,47.4576271186%,50.0%
Boring,word2vec_0.70,11,45.1612903226%,22.2222222222%
Boring,word2vec_0.70,12,45.641025641%,66.6666666667%
Boring,word2vec_0.70,13,43.2432432432%,44.4444444444%
Boring,word2vec_0.70,14,39.1489361702%,7.69230769231%
Boring,word2vec_0.70,15,37.3983739837%,9.09090909091%
Boring,word2vec_0.70,16,36.4705882353%,33.3333333333%
Boring,word2vec_0.70,17,35.0%,0.0%
Boring,word2vec_0.80,1,100.0%,100.0%
Boring,word2vec_0.80,2,90.4761904762%,87.5%
Boring,word2vec_0.80,3,69.0909090909%,76.4705882353%
Boring,word2vec_0.80,4,69.6202531646%,83.3333333333%
Boring,word2vec_0.80,5,64.0776699029%,66.6666666667%
Boring,word2vec_0.80,6,65.2892561983%,83.3333333333%
