6MYkmnPSBEkK74xzk,"Baby clothing, Adult clothing, Pants, Shirts, Hoodies, Bras, Bed sheets,",AG7C4X3WKKBV,1462239302840,visualArts,22,clothes
XzwbmfwAMTWrW2LRH,"use in department stores to show how clothes will look, being able to change colors and styles",A8SD5DJ3KBLLR,1462287118660,visualArts,23,clothes
gDm6TgBxJXBj4nvSN,"Have a visual representation of their website, a gallery or some sort of QC code that people can scan to take them to their website or work",AFXE92S04IYHY,1463638964230,visualArts,24,information
SqgPvTkAQNCKwj2ib,To show missing children,AYSG3J2U3UF1Y,1462798958420,visualArts,25,information
PXYw5yQ4cEqYEiTMD,Have a virtual image that can talk and respond to you.,AQAXDL1INQC9Q,1462304078010,visualArts,26,interactive screen
tuiHwxbjXubjeJqfH,As wallpaper,A2C7VUFGB8WGCG,1462297096050,visualArts,27,interior design
pFHit8yK7zKj6wHm3,The technology would be great for interactive maps. You could make a map that reacted to a persons touch and displayed information about the location they touched. It would be great for Atlases and text books. The technology would create a immersive environment for children to learn with. Also with the technology the data could be updated at any time so the information is always current . Thing,AUKUYL50PIUMC,1463633111300,visualArts,28,map
g62w2T5n5Hi2vZPX7,Show places you have been,AYSG3J2U3UF1Y,1462799096090,visualArts,29,map
4Mh2NPbgy2kDHBxkm,For showing off their work as they work on it,A129B5FAMFJNAT,1463633544020,visualArts,30,display art
62YvppBJk9bpoi7tR,"A target, a club, a hammer, for plugging a drain,",AYSG3J2U3UF1Y,1462798935280,visualArts,31,other
ALQQck35Pf5Hj3aH2,"Lamp, Bat, shirt rack, door stop.",AG7C4X3WKKBV,1462239169420,visualArts,32,other
mKvbwae6NZfrcHyQC,Make it part of a display that sells something so you can buy things by touch.,AQAXDL1INQC9Q,1462304026000,visualArts,33,shopping
LwKWGrJ9HAjPqWaiQ,Use it in a mall setting to sell ad space for different stores to show their products and get people interested in purchasing.,A6SP6FP8I5VTI,1463632021720,visualArts,100,advertisement
foJ2vhKLywHkFhdZE,"I like the idea of using this product at an outdoor event, like a festival. there would be fabric hanging at different areas that show different kinds of activities, even actual live streams of things that are happening at the event. It could show different merchandise for sale. I could give information about the vendors at the event. It could be used to show artists as they are actually creating art. Much like electronic billboards but more flexible and portable. People wearing the device and show the map of the event. It can show what food is available and how it is being prepared",A8SD5DJ3KBLLR,1462287589180,visualArts,100,advertisement
FrSYfc5oX7882opnJ,use by advertisers for people walking down the street that can display certain products,A8SD5DJ3KBLLR,1462287206400,visualArts,100,advertisement
aEha3uaarkeqtp6Pc,To advertise,AYSG3J2U3UF1Y,1462799022190,visualArts,100,advertisement
PBkHt44gFn8kf9KpC,"show in art galeries, cycle thru all the photos af art you have done",A8SD5DJ3KBLLR,1462287147610,visualArts,100,art
SHFWYmeWrSvWcbhkK,"Have a sort of progression of their art, starting from when they were just starting out to recent times",AFXE92S04IYHY,1463639058500,visualArts,100,art
CvRpPW6uF2hdDnn77,digital art,AUKUYL50PIUMC,1463632692260,visualArts,100,art
MjMo7H6B5Af3FJ7hD,Show your art,AYSG3J2U3UF1Y,1462799039680,visualArts,100,art
RKMiw59LeGiv9XSbn,They could use it for letting people interact with how they make their art. If someone touches a spot they have to draw whatever a person wants in that spot kind of idea.,A129B5FAMFJNAT,1463633621920,visualArts,100,artist
RcY5kq5J6qS5kkWZp,To help teach others how to make art by using something large like a hung up sheet as they work on a smaller canvas,A129B5FAMFJNAT,1463633646520,visualArts,100,artist
