Super_Word,Value
,set([''])
walking,set(['walking'])
hoodies,set(['hoodies'])
text,set(['text'])
keep,set(['keep'])
able,set(['able'])
prices,set(['prices'])
colors,set(['colors'])
participate,set(['participate'])
go,set(['go'])
staff,set(['staff'])
slot,set(['slot'])
giant,set(['giant'])
frabics,set(['frabics'])
based,set(['based'])
inthe,set(['inthe'])
menu,set(['menu'])
young,set(['young'])
suits,set(['suits'])
clicker,set(['clicker'])
black,set(['black'])
touched,set(['touched'])
school,set(['school'])
teaching,set(['teaching'])
wearing,set(['wearing'])
do,set(['do'])
updated,set(['updated'])
watching,"set(['looking', 'watching'])"
beat,set(['beat'])
landscapes,set(['landscapes'])
blanket,set(['blanket'])
stop,set(['stop'])
blossom,set(['blossom'])
made,"set(['made', 'done', 'whatever'])"
every,set(['every'])
wedding,set(['wedding'])
affect,set(['affect'])
cool,set(['cool'])
bat,set(['bat'])
progression,set(['progression'])
artist,"set(['artists', 'artist'])"
shock,set(['shock'])
teams,set(['teams'])
large,set(['large'])
presenter,set(['presenter'])
qc,set(['qc'])
small,set(['small'])
rack,set(['rack'])
respond,"set(['respond', 'reacted'])"
available,set(['available'])
art,"set(['art', 'mosaic'])"
portable,set(['portable'])
direct,set(['direct'])
see,set(['see'])
street,set(['street'])
video,set(['video'])
changeable,set(['changeable'])
hammer,set(['hammer'])
submit,set(['submit'])
best,set(['best'])
even,set(['even'])
appear,set(['appear'])
giving,set(['giving'])
videographers,set(['videographers'])
missing,set(['missing'])
revolves,set(['revolves'])
current,set(['current'])
new,set(['new'])
approach,set(['approach'])
email,set(['email'])
exercise,set(['exercise'])
pants,set(['pants'])
textures,set(['textures'])
led,set(['led'])
opening,set(['opening'])
attention,set(['attention'])
however,set(['however'])
water,set(['water'])
filmed,set(['filmed'])
let,set(['let'])
recent,set(['recent'])
others,set(['others'])
come,set(['come'])
change,"set(['changes', 'happening', 'change'])"
wait,set(['wait'])
bras,set(['bras'])
restaurant,"set(['buildings', 'restaurant'])"
many,set(['many'])
changed,"set(['prospective', 'used', 'changed', 'prepared', 'traditional', 'digital', 'hung'])"
etc,set(['etc'])
streams,set(['streams'])
advertising,"set(['advertising', 'ad'])"
options,set(['options'])
nearby,set(['nearby'])
exhibit,set(['exhibit'])
alternate,set(['alternate'])
useful,set(['useful'])
cancer,set(['cancer'])
saveable,set(['saveable'])
color,set(['color'])
pop,set(['pop'])
replace,set(['replace'])
flexibility,set(['flexibility'])
towels,set(['towels'])
memorable,set(['memorable'])
table,"set(['table', 'array'])"
post,set(['post'])
tailor,set(['tailor'])
from,set(['from'])
platform,set(['platform'])
create,"set(['creating', 'create', 'generate', 'happy'])"
scan,set(['scan'])
quickly,set(['quickly'])
live,set(['live'])
much,set(['much'])
interest,set(['interest'])
basic,set(['basic'])
flexible,set(['flexible'])
thru,set(['thru'])
billboards,set(['billboards'])
board,set(['board'])
sort,"set(['sort', 'make', 'kinds', 'like', 'kind'])"
collectible,set(['collectible'])
atlases,set(['atlases'])
senses,set(['senses'])
door,set(['door'])
lungs,set(['lungs'])
club,set(['club'])
body,set(['body'])
phone,set(['phone'])
visual,set(['visual'])
basically,set(['basically'])
baby,set(['baby'])
smoking,set(['smoking'])
novel,set(['novel'])
look,set(['look'])
hour,set(['hour'])
this,set(['this'])
unigue,set(['unigue'])
also,set(['also'])
work,set(['work'])
tshirt,set(['tshirt'])
value,set(['value'])
mall,set(['mall'])
napkins,set(['napkins'])
neat,set(['neat'])
learn,set(['learn'])
fun,set(['fun'])
situation,"set(['environment', 'situation', 'showcase', 'thing'])"
voice,set(['voice'])
proof,set(['proof'])
heart,set(['heart'])
vest,set(['vest'])
coupled,set(['coupled'])
awesome,set(['awesome'])
accessories,set(['accessories'])
pieces,"set(['piece', 'pieces'])"
something,set(['something'])
want,"set(['wants', 'want'])"
in,set(['in'])
ready,set(['ready'])
outfits,set(['outfits'])
technology,set(['technology'])
information,set(['information'])
different,set(['different'])
develop,set(['develop'])
rather,set(['rather'])
things,set(['things'])
premade,set(['premade'])
rugs,set(['rugs'])
write,set(['write'])
hot,set(['hot'])
rewind,set(['rewind'])
place,"set(['spot', 'place', 'places'])"
events,"set(['events', 'event'])"
designer,"set(['designers', 'designer'])"
booths,set(['booths'])
mess,set(['mess'])
effect,set(['effect'])
collection,"set(['set', 'data', 'class', 'collection'])"
coming,set(['coming'])
kid,"set(['kids', 'children', 'kid'])"
purchase,"set(['purchase', 'purchasing'])"
drain,set(['drain'])
interactively,set(['interactively'])
remember,set(['remember'])
certian,set(['certian'])
roughly,set(['roughly'])
without,set(['without'])
allow,"set(['allowing', 'allow', 'around'])"
pay,set(['pay'])
sensing,set(['sensing'])
drawing,set(['drawing'])
furnish,"set(['paying', 'providing', 'furnish'])"
