dataset,method,timeSlice,GT_predict,new_TRUE
A171C7B6HHSEGH,word2vec_0.40,3,33.3333333333,50.0
A171C7B6HHSEGH,word2vec_0.50,1,30.0,60.0
A171C7B6HHSEGH,word2vec_0.50,2,28.5714285714,50.0
A171C7B6HHSEGH,word2vec_0.50,3,33.3333333333,50.0
A171C7B6HHSEGH,word2vec_0.60,1,40.0,70.0
A171C7B6HHSEGH,word2vec_0.60,2,35.7142857143,50.0
A171C7B6HHSEGH,word2vec_0.60,3,38.8888888889,50.0
A171C7B6HHSEGH,word2vec_0.70,1,40.0,70.0
A171C7B6HHSEGH,word2vec_0.70,2,42.8571428571,75.0
A171C7B6HHSEGH,word2vec_0.70,3,38.8888888889,50.0
A171C7B6HHSEGH,word2vec_0.80,1,40.0,70.0
A171C7B6HHSEGH,word2vec_0.80,2,42.8571428571,75.0
A171C7B6HHSEGH,word2vec_0.80,3,38.8888888889,50.0
A171C7B6HHSEGH,word2vec_0.90,1,40.0,70.0
A171C7B6HHSEGH,word2vec_0.90,2,42.8571428571,75.0
A171C7B6HHSEGH,word2vec_0.90,3,38.8888888889,50.0
A18FK1XR73EQ2W,word2vec_0.20,1,14.2857142857,28.5714285714
A18FK1XR73EQ2W,word2vec_0.20,2,18.1818181818,25.0
A18FK1XR73EQ2W,word2vec_0.20,3,23.0769230769,50.0
A18FK1XR73EQ2W,word2vec_0.20,4,18.75,33.3333333333
A18FK1XR73EQ2W,word2vec_0.20,5,10.5263157895,0.0
A18FK1XR73EQ2W,word2vec_0.20,6,9.09090909091,0.0
A18FK1XR73EQ2W,word2vec_0.20,7,7.69230769231,0.0
A18FK1XR73EQ2W,word2vec_0.20,8,5.71428571429,22.2222222222
A18FK1XR73EQ2W,word2vec_0.20,9,4.87804878049,0.0
A18FK1XR73EQ2W,word2vec_0.30,1,14.2857142857,42.8571428571
A18FK1XR73EQ2W,word2vec_0.30,2,18.1818181818,25.0
A18FK1XR73EQ2W,word2vec_0.30,3,23.0769230769,50.0
A18FK1XR73EQ2W,word2vec_0.30,4,25.0,33.3333333333
A18FK1XR73EQ2W,word2vec_0.30,5,15.7894736842,0.0
A18FK1XR73EQ2W,word2vec_0.30,6,18.1818181818,33.3333333333
A18FK1XR73EQ2W,word2vec_0.30,7,15.3846153846,0.0
A18FK1XR73EQ2W,word2vec_0.30,8,17.1428571429,44.4444444444
A18FK1XR73EQ2W,word2vec_0.30,9,14.6341463415,16.6666666667
A18FK1XR73EQ2W,word2vec_0.40,1,28.5714285714,57.1428571429
A18FK1XR73EQ2W,word2vec_0.40,2,36.3636363636,50.0
A18FK1XR73EQ2W,word2vec_0.40,3,38.4615384615,50.0
A18FK1XR73EQ2W,word2vec_0.40,4,43.75,66.6666666667
A18FK1XR73EQ2W,word2vec_0.40,5,26.3157894737,0.0
A18FK1XR73EQ2W,word2vec_0.40,6,27.2727272727,33.3333333333
A18FK1XR73EQ2W,word2vec_0.40,7,19.2307692308,0.0
A18FK1XR73EQ2W,word2vec_0.40,8,17.1428571429,33.3333333333
A18FK1XR73EQ2W,word2vec_0.40,9,14.6341463415,16.6666666667
A18FK1XR73EQ2W,word2vec_0.50,1,42.8571428571,71.4285714286
A18FK1XR73EQ2W,word2vec_0.50,2,45.4545454545,50.0
A18FK1XR73EQ2W,word2vec_0.50,3,46.1538461538,50.0
A18FK1XR73EQ2W,word2vec_0.50,4,50.0,66.6666666667
A18FK1XR73EQ2W,word2vec_0.50,5,31.5789473684,0.0
A18FK1XR73EQ2W,word2vec_0.50,6,31.8181818182,33.3333333333
A18FK1XR73EQ2W,word2vec_0.50,7,26.9230769231,25.0
A18FK1XR73EQ2W,word2vec_0.50,8,34.2857142857,66.6666666667
A18FK1XR73EQ2W,word2vec_0.50,9,31.7073170732,33.3333333333
