dataset,method,timeSlice,GT_predict,new_TRUE
0EVEO6UQAU,word2vec_0.90,13,64.77272727,66.66666667
0PC95RO1CF,word2vec_0.20,1,12.5,31.25
0PC95RO1CF,word2vec_0.20,2,9.090909091,16.66666667
0PC95RO1CF,word2vec_0.20,3,9.677419355,11.11111111
0PC95RO1CF,word2vec_0.20,4,8.108108108,0
0PC95RO1CF,word2vec_0.20,5,8.510638298,10
0PC95RO1CF,word2vec_0.20,6,1.666666667,0
0PC95RO1CF,word2vec_0.20,7,2.816901408,9.090909091
0PC95RO1CF,word2vec_0.20,8,2.5,0
0PC95RO1CF,word2vec_0.20,9,2.222222222,0
0PC95RO1CF,word2vec_0.30,1,18.75,43.75
0PC95RO1CF,word2vec_0.30,2,18.18181818,33.33333333
0PC95RO1CF,word2vec_0.30,3,16.12903226,22.22222222
0PC95RO1CF,word2vec_0.30,4,10.81081081,0
0PC95RO1CF,word2vec_0.30,5,6.382978723,0
0PC95RO1CF,word2vec_0.30,6,6.666666667,23.07692308
0PC95RO1CF,word2vec_0.30,7,7.042253521,18.18181818
0PC95RO1CF,word2vec_0.30,8,5,0
0PC95RO1CF,word2vec_0.30,9,4.444444444,0
0PC95RO1CF,word2vec_0.40,1,43.75,68.75
0PC95RO1CF,word2vec_0.40,2,40.90909091,50
0PC95RO1CF,word2vec_0.40,3,29.03225806,44.44444444
0PC95RO1CF,word2vec_0.40,4,21.62162162,0
0PC95RO1CF,word2vec_0.40,5,21.27659574,20
0PC95RO1CF,word2vec_0.40,6,18.33333333,23.07692308
0PC95RO1CF,word2vec_0.40,7,16.90140845,27.27272727
0PC95RO1CF,word2vec_0.40,8,15,22.22222222
0PC95RO1CF,word2vec_0.40,9,14.44444444,20
0PC95RO1CF,word2vec_0.50,1,75,87.5
0PC95RO1CF,word2vec_0.50,2,63.63636364,50
0PC95RO1CF,word2vec_0.50,3,58.06451613,66.66666667
0PC95RO1CF,word2vec_0.50,4,45.94594595,16.66666667
0PC95RO1CF,word2vec_0.50,5,38.29787234,30
0PC95RO1CF,word2vec_0.50,6,38.33333333,53.84615385
0PC95RO1CF,word2vec_0.50,7,32.3943662,27.27272727
0PC95RO1CF,word2vec_0.50,8,33.75,55.55555556
0PC95RO1CF,word2vec_0.50,9,34.44444444,50
0PC95RO1CF,word2vec_0.60,1,100,100
0PC95RO1CF,word2vec_0.60,2,90.90909091,83.33333333
0PC95RO1CF,word2vec_0.60,3,80.64516129,77.77777778
0PC95RO1CF,word2vec_0.60,4,70.27027027,50
0PC95RO1CF,word2vec_0.60,5,57.44680851,40
0PC95RO1CF,word2vec_0.60,6,56.66666667,69.23076923
0PC95RO1CF,word2vec_0.60,7,52.11267606,45.45454545
0PC95RO1CF,word2vec_0.60,8,52.5,66.66666667
0PC95RO1CF,word2vec_0.60,9,50,50
0PC95RO1CF,word2vec_0.70,1,100,100
0PC95RO1CF,word2vec_0.70,2,90.90909091,83.33333333
0PC95RO1CF,word2vec_0.70,3,80.64516129,77.77777778
0PC95RO1CF,word2vec_0.70,4,78.37837838,83.33333333
0PC95RO1CF,word2vec_0.70,5,68.08510638,60
0PC95RO1CF,word2vec_0.70,6,68.33333333,76.92307692
0PC95RO1CF,word2vec_0.70,7,63.38028169,63.63636364
0PC95RO1CF,word2vec_0.70,8,63.75,77.77777778
0PC95RO1CF,word2vec_0.70,9,62.22222222,70
0PC95RO1CF,word2vec_0.80,1,100,100
0PC95RO1CF,word2vec_0.80,2,90.90909091,83.33333333
0PC95RO1CF,word2vec_0.80,3,87.09677419,88.88888889
0PC95RO1CF,word2vec_0.80,4,83.78378378,83.33333333
0PC95RO1CF,word2vec_0.80,5,76.59574468,70
0PC95RO1CF,word2vec_0.80,6,71.66666667,76.92307692
0PC95RO1CF,word2vec_0.80,7,69.01408451,72.72727273
0PC95RO1CF,word2vec_0.80,8,68.75,77.77777778
0PC95RO1CF,word2vec_0.80,9,66.66666667,70
0PC95RO1CF,word2vec_0.90,1,100,100
0PC95RO1CF,word2vec_0.90,2,90.90909091,83.33333333
